GROSS_LOAD,BURNER_POSITION,X_CORD,Y_CORD,Z_CORD,VELOCITY_SIN_BETA,LOC_IDENTIFIER
170,2356,0.288399995,7.7867999,70.9,8.95403,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,8.0752001,70.9,7.2845607,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,8.3635998,70.9,8.231204,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,8.6519995,70.9,8.7528296,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,8.9404001,70.9,8.1874542,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,9.2287998,70.9,9.0533619,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,9.5171995,70.9,8.6739092,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,9.8056002,70.9,8.4807281,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,10.094,70.9,8.3114347,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,10.3824,70.9,7.9964204,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,10.6708,70.9,7.9684176,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,10.9592,70.9,8.9082069,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,11.2476,70.9,7.4529161,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,11.535999,70.9,8.2501879,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,11.8244,70.9,8.7012558,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,12.1128,70.9,7.6629705,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,12.401199,70.9,7.8907003,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,12.6896,70.9,7.0857592,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,12.978,70.9,7.9821177,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,13.266399,70.9,7.9440713,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,13.5548,70.9,9.7048368,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,13.8432,70.9,12.758738,B1_RH1_H0_C1_T1_LOC1
170,2356,0.288399995,14.4,70.9,13.202874,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,0,70.9,0.57679999,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,0.288399995,70.9,4.2610512,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,0.57679999,70.9,1.5775225,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,0.86519998,70.9,1.1676875,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,1.1536,70.9,1.4126347,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,1.4419999,70.9,1.0001587,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,1.7304,70.9,0.89483386,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,2.0188,70.9,0.98397225,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,2.3072,70.9,0.68793929,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,2.5955999,70.9,1.2821685,B1_RH1_H0_C1_T1_LOC1
